,ID,Name,Date,Time,Event,Status,Latitude,Longitude,MaximumWind,MAX_CAT
36458,AL081988,GILBERT,19880916,2200,L, HU,24.2N,97.8W,110,CAT 2
36576,AL111988,JOAN,19881022,1000,L, HU,11.9N,83.7W,125,CAT 3
36777,AL041989,CHANTAL,19890801,1300,L, HU,29.6N,94.4W,70,TS
37049,AL111989,HUGO,19890917,500,L, HU,16.3N,61.3W,120,CAT 3
37054,AL111989,HUGO,19890918,600,L, HU,17.7N,64.8W,120,CAT 3
37055,AL111989,HUGO,19890918,1200,L, HU,18.2N,65.5W,110,CAT 2
37056,AL111989,HUGO,19890918,1300,L, HU,18.3N,65.6W,110,CAT 2
37071,AL111989,HUGO,19890922,400,L, HU,32.8N,79.8W,120,CAT 3
37138,AL141989,JERRY,19891016,30,L, HU,29.2N,95.0W,75,CAT 1
37279,AL051990,DIANA,19900807,1900,L, HU,20.9N,97.0W,85,CAT 1
37714,AL031991,BOB,19910819,1720,L, HU,41.2N,71.6W,90,CAT 1
37715,AL031991,BOB,19910819,1800,L, HU,41.4N,71.4W,85,CAT 1
37966,AL041992,ANDREW,19920823,2100,L, HU,25.4N,76.6W,140,CAT 4
37968,AL041992,ANDREW,19920824,100,L, HU,25.4N,77.8W,130,CAT 4
37970,AL041992,ANDREW,19920824,840,L, HU,25.5N,80.2W,145,CAT 4
37971,AL041992,ANDREW,19920824,905,L, HU,25.5N,80.3W,145,CAT 4
37980,AL041992,ANDREW,19920826,830,L, HU,29.6N,91.5W,100,CAT 2
38384,AL081993,GERT,19930920,2100,L, HU,21.2N,97.5W,85,CAT 1
38773,AL051995,ERIN,19950802,615,L, HU,27.7N,80.3W,75,CAT 1
38780,AL051995,ERIN,19950803,1600,L, HU,30.3N,87.2W,75,CAT 1
39078,AL131995,LUIS,19950905,1200,L, HU,17.5N,61.7W,115,CAT 3
39134,AL151995,MARILYN,19950914,2100,L, HU,15.5N,61.3W,70,TS
39279,AL171995,OPAL,19951004,2200,L, HU,30.3N,87.1W,100,CAT 2
39319,AL191995,ROXANNE,19951011,200,L, HU,20.0N,87.6W,100,CAT 2
39462,AL021996,BERTHA,19960712,2000,L, HU,34.3N,77.8W,90,CAT 1
39495,AL031996,CESAR,19960728,400,L, HU,12.2N,83.9W,75,CAT 1
39505,AL041996,DOLLY,19960820,1730,L, HU,19.1N,87.7W,65,TS
39517,AL041996,DOLLY,19960823,1200,L, HU,21.6N,97.7W,70,TS
39652,AL061996,FRAN,19960906,30,L, HU,33.9N,78.0W,100,CAT 2
39725,AL081996,HORTENSE,19960910,600,L, HU,18.0N,66.9W,70,TS
39745,AL081996,HORTENSE,19960915,300,L, HU,44.8N,62.5W,70,TS
39854,AL121996,LILI,19961018,930,L, HU,22.3N,82.0W,85,CAT 1
40014,AL051997,DANNY,19970718,900,L, HU,29.3N,89.7W,65,TS
40019,AL051997,DANNY,19970719,1000,L, HU,30.2N,88.1W,70,TS
40021,AL051997,DANNY,19970719,1800,L, HU,30.4N,87.9W,65,TS
40215,AL021998,BONNIE,19980827,400,L, HU,34.4N,77.7W,95,CAT 1
40318,AL051998,EARL,19980903,600,L, HU,30.1N,85.7W,70,TS
40384,AL071998,GEORGES,19980921,430,L, HU,17.0N,61.7W,100,CAT 2
40386,AL071998,GEORGES,19980921,800,L, HU,17.2N,62.6W,100,CAT 2
40389,AL071998,GEORGES,19980921,2200,L, HU,18.1N,65.8W,90,CAT 1
40393,AL071998,GEORGES,19980922,1230,L, HU,18.2N,68.7W,105,CAT 2
40399,AL071998,GEORGES,19980923,2130,L, HU,20.1N,74.5W,65,TS
40407,AL071998,GEORGES,19980925,1530,L, HU,24.5N,81.8W,90,CAT 1
40419,AL071998,GEORGES,19980928,1130,L, HU,30.4N,88.9W,90,CAT 1
40614,AL131998,MITCH,19981029,1200,L, HU,15.9N,85.7W,70,TS
40744,AL031999,BRET,19990823,0,L, HU,26.9N,97.4W,100,CAT 2
40822,AL051999,DENNIS,19990828,700,L, HU,26.6N,76.8W,75,CAT 1
40923,AL081999,FLOYD,19990914,1200,L, HU,25.4N,76.3W,105,CAT 2
40925,AL081999,FLOYD,19990914,1900,L, HU,26.3N,77.1W,110,CAT 2
40932,AL081999,FLOYD,19990916,630,L, HU,33.8N,78.0W,90,CAT 1
41045,AL131999,IRENE,19991015,1300,L, HU,24.6N,81.6W,65,TS
41047,AL131999,IRENE,19991015,2000,L, HU,25.3N,81.1W,70,TS
41077,AL141999,JOSE,19991020,1600,L, HU,17.1N,61.7W,80,CAT 1
41131,AL161999,LENNY,19991117,1800,L, HU,17.4N,64.8W,135,CAT 4
41135,AL161999,LENNY,19991118,1800,L, HU,18.0N,63.3W,110,CAT 2
41136,AL161999,LENNY,19991119,0,L, HU,18.1N,63.1W,85,CAT 1
41137,AL161999,LENNY,19991119,600,L, HU,18.0N,62.9W,75,CAT 1
41299,AL072000,DEBBY,20000822,600,L, HU,17.5N,61.7W,65,TS
41300,AL072000,DEBBY,20000822,915,L, HU,17.9N,62.8W,65,TS
41302,AL072000,DEBBY,20000822,1500,L, HU,18.5N,64.4W,65,TS
41525,AL152000,KEITH,20001002,2300,L, HU,17.9N,88.0W,65,TS
41538,AL152000,KEITH,20001005,1800,L, HU,22.6N,97.9W,80,CAT 1
41970,AL112001,IRIS,20011009,200,L, HU,16.3N,88.4W,125,CAT 3
42042,AL152001,MICHELLE,20011104,1800,L, HU,21.5N,81.8W,120,CAT 3
42043,AL152001,MICHELLE,20011104,2300,L, HU,22.1N,81.2W,115,CAT 3
42046,AL152001,MICHELLE,20011105,1200,L, HU,24.3N,78.0W,80,CAT 1
42047,AL152001,MICHELLE,20011105,1800,L, HU,25.4N,76.4W,75,CAT 1
42258,AL082002,GUSTAV,20020912,430,L, HU,45.6N,60.4W,80,CAT 1
42260,AL082002,GUSTAV,20020912,900,L, HU,47.6N,58.6W,65,TS
42314,AL102002,ISIDORE,20020920,2100,L, HU,22.0N,84.1W,75,CAT 1
42323,AL102002,ISIDORE,20020922,2100,L, HU,21.3N,89.3W,110,CAT 2
42479,AL132002,LILI,20020930,1400,L, HU,19.7N,79.8W,65,TS
42483,AL132002,LILI,20021001,1100,L, HU,21.3N,83.0W,90,CAT 1
42485,AL132002,LILI,20021001,1400,L, HU,22.1N,84.0W,90,CAT 1
42495,AL132002,LILI,20021003,1300,L, HU,29.5N,92.2W,80,CAT 1
42611,AL042003,CLAUDETTE,20030715,1530,L, HU,28.3N,96.2W,80,CAT 1
42686,AL082003,ERIKA,20030816,1030,L, HU,25.3N,97.4W,65,TS
